date,home_team,away_team,neutral,tournament,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff
2026-07-14,France,Spain,1,FIFA World Cup,2.5,0.7,1.8,0.9,0.0,1.8,0.3,1.5,0.7,0.3,1,2,0,5,1544.1997304918152,1560.678949556122,-16.47921906430679
2026-07-15,England,Argentina,1,FIFA World Cup,1.8,0.8,1.0,0.7,0.2,2.9,0.7,2.2,1.0,0.0,0,0,0,5,1486.310221494152,1596.88863682207,-110.57841532791804
