home_team,away_team,date,neutral,tournament,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff
Canada,Morocco,2026-07-04,1,FIFA World Cup,1.6,0.6,1.0,0.4,0.5,2.3,0.7,1.6,0.7,0.3,0,1,0,5,1318.0564220670892,1453.6814665115419,-135.62504444445267
Paraguay,France,2026-07-04,1,FIFA World Cup,1.2,1.2,0.0,0.5,0.1,2.9,0.8,2.1,0.9,0.0,0,0,0,5,1321.0603387134652,1519.8222556510932,-198.76191693762803
Brazil,Norway,2026-07-05,1,FIFA World Cup,2.4,0.9,1.5,0.7,0.2,2.3,1.4,0.9,0.6,0.2,0,0,0,5,1479.381202221292,1385.9274236322606,93.45377858903134
Mexico,England,2026-07-05,0,FIFA World Cup,2.1,0.2,1.9,0.8,0.2,1.7,0.5,1.2,0.7,0.2,0,0,0,5,1442.3455895535822,1458.0932861730935,-15.747696619511316
Portugal,Spain,2026-07-06,1,FIFA World Cup,2.3,0.7,1.6,0.6,0.3,2.1,0.4,1.7,0.6,0.4,0,1,2,5,1461.5376882895885,1538.3823314544538,-76.84464316486537
United States,Belgium,2026-07-06,0,FIFA World Cup,2.3,1.7,0.6,0.6,0.0,3.0,0.8,2.2,0.6,0.4,0,1,0,5,1353.3553686940475,1386.5978422076066,-33.24247351355916
Argentina,Egypt,2026-07-07,1,FIFA World Cup,3.1,0.4,2.7,1.0,0.0,1.2,0.7,0.5,0.4,0.4,0,0,0,5,1581.435677362375,1296.2387576739352,285.1969196884397
Switzerland,Colombia,2026-07-07,1,FIFA World Cup,2.2,1.1,1.1,0.5,0.4,1.7,0.8,0.9,0.7,0.1,0,0,0,5,1384.491199112406,1462.4183272988437,-77.92712818643759
