home_team,away_team,date,neutral,tournament,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff
France,Morocco,2026-07-09,1,FIFA World Cup,2.6,0.8,1.8,0.9,0.0,2.3,0.7,1.6,0.7,0.3,1,0,0,5,1527.5510676239385,1468.7589472189304,58.79212040500806
Spain,Belgium,2026-07-10,1,FIFA World Cup,1.8,0.4,1.4,0.6,0.4,3.3,0.8,2.5,0.7,0.3,0,0,0,5,1550.8995631836394,1408.306945420767,142.59261776287235
Norway,England,2026-07-11,1,FIFA World Cup,2.1,1.4,0.7,0.6,0.2,1.8,0.7,1.1,0.7,0.2,0,0,0,5,1406.1281927167945,1473.366855942712,-67.23866322591743
Argentina,Switzerland,2026-07-11,1,FIFA World Cup,2.8,0.6,2.2,1.0,0.0,1.8,1.0,0.8,0.5,0.4,0,0,0,5,1586.6272962421174,1401.7851390143828,184.84215722773456
