,date,home_team,away_team,home_score,away_score,tournament,neutral,result,goal_difference,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,tournament_weight,h2h_home_wins,h2h_away_wins,h2h_draws,elo_home,elo_away,elo_diff
59,2000-02-02,Saint Kitts and Nevis,Saint Lucia,0.0,1.0,Friendly,0,A,-1.0,0.0,0.0,0.0,0.0,0.0,4.67,0.67,4.0,1.0,0.0,1.0,0,0,0,1000.0,1055.36339012244,-55.36339012244002
60,2000-02-02,South Africa,Algeria,1.0,1.0,African Cup of Nations,1,D,0.0,2.0,0.5,1.5,1.0,0.0,1.0,0.67,0.33,0.33,0.33,2.0,0,0,0,1035.0292972894022,1004.8106449813858,30.218652308016317
61,2000-02-02,Romania,Latvia,2.0,0.0,Cyprus International Tournament,1,H,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1000.0,1000.0,0.0
62,2000-02-02,Finland,Iceland,0.0,1.0,Nordic Championship,1,A,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,1016.0,1000.0,16.0
63,2000-02-02,Armenia,Moldova,2.0,1.0,Cyprus International Tournament,1,H,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1000.0,1000.0,0.0
64,2000-02-02,Costa Rica,Chile,1.0,0.0,Friendly,0,H,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,0,0,0,1015.263693206478,983.9491378999273,31.314555306550687
65,2000-02-02,DR Congo,Gabon,0.0,0.0,African Cup of Nations,1,D,0.0,0.0,0.5,-0.5,0.0,0.5,1.0,2.33,-1.33,0.0,0.33,2.0,0,0,0,983.8662425203147,960.2938152088972,23.572427311417528
66,2000-02-02,Cyprus,Lithuania,2.0,1.0,Cyprus International Tournament,0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1000.0,1000.0,0.0
67,2000-02-03,Nigeria,Morocco,2.0,0.0,African Cup of Nations,0,H,2.0,2.0,1.0,1.0,0.5,0.5,0.67,0.0,0.67,0.67,0.33,2.0,0,0,0,1017.6571056080986,1027.8486802404336,-10.191574632335005
68,2000-02-03,Tunisia,Congo,1.0,0.0,African Cup of Nations,1,H,1.0,2.25,1.5,0.75,0.25,0.25,0.0,0.5,-0.5,0.0,0.5,2.0,0,0,0,984.9035630364552,987.1701222248831,-2.266559188427891
69,2000-02-04,Norway,Sweden,1.0,1.0,Nordic Championship,1,D,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1000.0,1000.0,0.0
70,2000-02-04,Romania,Georgia,1.0,1.0,Cyprus International Tournament,1,D,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1020.0,1000.0,20.0
71,2000-02-04,Moldova,Lithuania,2.0,1.0,Cyprus International Tournament,1,H,1.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,2.0,0,0,0,984.0,984.0,0.0
72,2000-02-04,Faroe Islands,Iceland,2.0,3.0,Nordic Championship,1,A,-1.0,0.0,1.0,-1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,2.0,0,0,0,984.0,1016.736306793522,-32.736306793521976
73,2000-02-04,Cyprus,Armenia,3.0,2.0,Cyprus International Tournament,0,H,1.0,2.0,1.0,1.0,1.0,0.0,1.5,1.0,0.5,0.5,0.5,2.0,0,0,0,1016.0,1016.0,0.0
74,2000-02-04,Kuwait,Iran,1.0,1.0,Friendly,0,D,0.0,4.0,0.0,4.0,1.0,0.0,1.0,1.5,-0.5,0.0,0.5,1.0,0,0,0,1024.0,985.104460190283,38.89553980971698
75,2000-02-05,Guatemala,Chile,2.0,1.0,Friendly,0,H,1.0,0.67,1.33,-0.67,0.0,0.67,0.5,1.5,-1.0,0.0,0.0,1.0,0,0,0,982.75095842059,969.3873341700098,13.363624250580187
76,2000-02-05,Japan,Mexico,0.0,1.0,Lunar New Year Cup,1,A,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0,0,0,1000.0,1016.0,-16.0
77,2000-02-06,Albania,Andorra,3.0,0.0,Malta International Tournament,1,H,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1000.0,1000.0,0.0
78,2000-02-06,Cameroon,Algeria,2.0,1.0,African Cup of Nations,1,H,1.0,1.2,0.8,0.4,0.2,0.6,1.0,0.75,0.25,0.25,0.5,2.0,0,0,0,1007.7494915572837,1006.8928276955324,0.8566638617512581
79,2000-02-06,Cayman Islands,Jamaica,0.0,0.0,Friendly,0,D,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1000.0,1015.263693206478,-15.263693206478024
80,2000-02-06,Cyprus,Romania,3.0,2.0,Cyprus International Tournament,0,H,1.0,2.5,1.5,1.0,1.0,0.0,1.5,0.5,1.0,0.5,0.5,2.0,0,0,0,1032.0,1018.6199729331711,13.380027066828916
81,2000-02-06,Georgia,Armenia,2.0,1.0,Cyprus International Tournament,1,H,1.0,1.0,1.0,0.0,0.0,1.0,1.67,1.67,0.0,0.33,0.33,2.0,0,0,0,1001.3800270668289,1000.0,1.3800270668289158
82,2000-02-06,Ghana,South Africa,0.0,1.0,African Cup of Nations,0,A,-1.0,1.25,0.75,0.5,0.5,0.25,1.67,0.67,1.0,0.67,0.33,2.0,0,0,0,1015.0875309938501,1032.9471145752557,-17.85958358140556
83,2000-02-06,Latvia,Lithuania,1.0,2.0,Cyprus International Tournament,1,A,-1.0,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,2.0,0,0,0,980.0,968.0,12.0
84,2000-02-06,Malta,Azerbaijan,3.0,0.0,Malta International Tournament,0,H,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1020.0,1000.0,20.0
85,2000-02-07,Singapore,Malaysia,3.0,1.0,Friendly,0,H,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1000.0,1000.0,0.0
86,2000-02-07,Egypt,Tunisia,0.0,1.0,African Cup of Nations,1,A,-1.0,1.5,1.0,0.5,0.67,0.0,2.0,1.2,0.8,0.4,0.2,2.0,0,0,0,1034.5711493595443,1001.0079404637397,33.563208895804564
87,2000-02-07,Nigeria,Senegal,2.0,1.0,African Cup of Nations,0,H,1.0,2.0,0.67,1.33,0.67,0.33,1.25,1.0,0.25,0.25,0.5,2.0,0,0,0,1038.2436115903893,1002.2438842633373,35.999727327051914
88,2000-02-08,Albania,Azerbaijan,1.0,0.0,Malta International Tournament,1,H,1.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,2.0,0,0,0,1024.0,977.3800270668289,46.619972933171084
89,2000-02-08,Malta,Andorra,1.0,1.0,Malta International Tournament,0,D,0.0,2.5,0.0,2.5,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,2.0,0,0,0,1042.619972933171,976.0,66.61997293317108
90,2000-02-08,Mexico,Czech Republic,1.0,2.0,Lunar New Year Cup,1,A,-1.0,1.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1031.263693206478,1000.0,31.26369320647791
91,2000-02-08,Syria,North Korea,5.0,1.0,Friendly,0,H,4.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,976.0,1000.0,-24.0
92,2000-02-09,Bulgaria,Slovakia,1.0,0.0,Friendly,1,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1000.0,1000.0,0.0
93,2000-02-09,Cayman Islands,Jamaica,0.0,1.0,Friendly,0,A,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0,0,1,1001.0537007587869,1014.2099924476911,-13.156291688904162
94,2000-02-09,Chile,Australia,2.0,1.0,Friendly,0,H,1.0,0.67,1.67,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,954.0024484963127,1000.0,-45.997551503687305
95,2000-02-09,Honduras,El Salvador,5.0,1.0,Friendly,0,H,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1000.0,1000.0,0.0
96,2000-02-10,Nepal,Yemen,0.0,3.0,AFC Asian Cup qualification,1,A,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1000.0,1000.0,0.0
97,2000-02-10,Nigeria,South Africa,2.0,0.0,African Cup of Nations,0,H,2.0,2.0,0.75,1.25,0.75,0.25,1.5,0.5,1.0,0.75,0.25,2.0,0,0,0,1052.591670499635,1048.1253740109444,4.466296488690659
98,2000-02-10,Malta,Albania,0.0,1.0,Malta International Tournament,0,A,-1.0,2.0,0.33,1.67,0.67,0.33,2.0,0.0,2.0,1.0,0.0,2.0,0,0,0,1038.0736111033427,1037.8658639986832,0.2077471046595747
99,2000-02-10,Hong Kong,Singapore,0.0,0.0,Friendly,0,D,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0,0,0,1000.0,1020.0,-20.0
100,2000-02-10,Kuwait,Turkmenistan,6.0,1.0,AFC Asian Cup qualification,0,H,5.0,2.5,0.5,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1021.324359796447,1000.0,21.32435979644697
