date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,tournament_weight,elo_home,elo_away,elo_diff,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws
2000-01-23,China,Philippines,8.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True,H,8.0,2000,2.0,1016.0,1000.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-23,New Zealand,South Korea,0.0,0.0,Friendly,Palmerston North,New Zealand,False,D,0.0,2000,1.0,954.1721796717983,1014.5641271217237,-60.3919474499254,0.33,1.33,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0
2000-01-24,DR Congo,Algeria,0.0,0.0,African Cup of Nations,Kumasi,Ghana,True,D,0.0,2000,3.0,1000.0,984.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0
2000-01-24,Ivory Coast,Togo,1.0,1.0,African Cup of Nations,Accra,Ghana,True,D,0.0,2000,3.0,1020.9203834919025,978.6641057229505,42.25627776895203,2.0,0.0,2.0,1.0,0.0,0.67,3.0,-2.33,0.33,0.0,0,0,0
2000-01-24,Qatar,Bosnia and Herzegovina,2.0,0.0,Friendly,Doha,Qatar,False,H,2.0,2000,1.0,980.0,1000.0,-20.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-25,Burkina Faso,Senegal,1.0,3.0,African Cup of Nations,Kano,Nigeria,True,A,-2.0,2000,3.0,1016.0,1000.0,16.0,1.33,1.0,0.33,0.33,0.67,0.0,0.0,0.0,0.0,1.0,0,0,0
2000-01-25,Morocco,Congo,1.0,0.0,African Cup of Nations,Lagos,Nigeria,True,H,1.0,2000,3.0,1016.0,1000.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-26,Spain,Poland,3.0,0.0,Friendly,Cartagena,Spain,False,H,3.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-26,Vietnam,Philippines,3.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False,H,3.0,2000,2.0,1024.0,977.104460190283,46.89553980971698,11.0,0.0,11.0,1.0,0.0,0.0,8.0,-8.0,0.0,0.0,0,0,0
2000-01-26,Uganda,Libya,3.0,2.0,Friendly,Kampala,Uganda,False,H,1.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-26,Guatemala,Panama,1.0,1.0,Friendly,Guatemala City,Guatemala,False,D,0.0,2000,1.0,980.0,1020.0,-40.0,0.5,1.5,-1.0,0.0,0.5,2.0,0.0,2.0,1.0,0.0,0,1,0
2000-01-26,Costa Rica,Trinidad and Tobago,2.0,1.0,Friendly,San José,Costa Rica,False,H,1.0,2000,1.0,1000.0,984.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.5,0,0,0
2000-01-26,China,Guam,19.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True,H,19.0,2000,2.0,1038.895539809717,976.0,62.89553980971709,4.5,0.0,4.5,1.0,0.0,0.0,11.0,-11.0,0.0,0.0,0,0,0
2000-01-27,Ghana,Togo,2.0,0.0,African Cup of Nations,Accra,Ghana,False,H,2.0,2000,3.0,1019.845451578395,981.5687579827526,38.27669359564243,1.5,0.5,1.0,0.5,0.5,0.75,2.5,-1.75,0.25,0.25,0,0,0
2000-01-27,South Africa,DR Congo,1.0,0.0,African Cup of Nations,Kumasi,Ghana,True,H,1.0,2000,3.0,1020.0,998.895539809717,21.10446019028302,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2000-01-28,Cameroon,Ivory Coast,3.0,0.0,African Cup of Nations,Accra,Ghana,True,H,3.0,2000,3.0,1001.4706171214513,1018.0157312321004,-16.545114110649138,1.0,1.0,0.0,0.0,1.0,1.5,0.5,1.0,0.5,0.5,0,0,0
2000-01-28,Egypt,Senegal,1.0,0.0,African Cup of Nations,Kano,Nigeria,True,H,1.0,2000,3.0,998.8122226590885,1020.9203834919025,-22.10816083281395,1.0,1.0,0.0,0.5,0.0,1.5,0.5,1.0,0.5,0.5,0,0,0
2000-01-28,Nigeria,Congo,0.0,0.0,African Cup of Nations,Lagos,Nigeria,False,D,0.0,2000,3.0,1020.0909210394598,984.736306793522,35.354614245937796,4.0,2.0,2.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0
2000-01-28,United States Virgin Islands,Saint Lucia,0.0,9.0,Friendly,Saint Croix,United States Virgin Islands,False,A,-9.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-29,Vietnam,China,0.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,False,A,-2.0,2000,2.0,1044.780101157588,1058.597715737501,-13.81761457991297,7.0,0.0,7.0,1.0,0.0,9.33,0.0,9.33,1.0,0.0,0,0,0
2000-01-29,Tunisia,Morocco,0.0,0.0,African Cup of Nations,Lagos,Nigeria,True,D,0.0,2000,3.0,981.488550070411,1031.263693206478,-49.77514313606696,3.0,2.0,1.0,0.33,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0
2000-01-29,Zambia,Burkina Faso,1.0,1.0,African Cup of Nations,Kano,Nigeria,True,D,0.0,2000,3.0,978.7077483163415,995.0796165080975,-16.371868191755993,0.0,2.0,-2.0,0.0,0.0,1.25,1.5,-0.25,0.25,0.5,0,0,0
2000-01-29,Chile,United States,1.0,2.0,Friendly,Coquimbo,Chile,False,A,-1.0,2000,1.0,1000.0,998.895539809717,1.104460190283021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
2000-01-29,Philippines,Guam,2.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True,H,2.0,2000,2.0,956.324359032695,956.2978240722161,0.02653496047889803,0.0,5.5,-5.5,0.0,0.0,0.0,15.0,-15.0,0.0,0.0,0,0,0
2000-01-29,Algeria,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,True,H,2.0,2000,3.0,985.104460190283,980.0,5.104460190283021,0.0,0.5,-0.5,0.0,0.5,1.0,2.0,-1.0,0.0,0.5,0,0,0
2000-01-30,United States Virgin Islands,Saint Lucia,0.0,2.0,Friendly,Saint Croix,United States Virgin Islands,False,A,-2.0,2000,1.0,976.0,1024.0,-48.0,0.0,9.0,-9.0,0.0,0.0,9.0,0.0,9.0,1.0,0.0,0,1,0
2000-01-31,Cameroon,Togo,0.0,1.0,African Cup of Nations,Kumasi,Ghana,True,A,-1.0,2000,3.0,1026.612649972086,963.7632703135353,62.84937965855079,1.5,0.75,0.75,0.25,0.75,0.6,2.4,-1.8,0.2,0.2,0,0,0
2000-01-31,Faroe Islands,Finland,0.0,1.0,Nordic Championship,Cartagena,Spain,True,A,-1.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-31,Ghana,Ivory Coast,0.0,2.0,African Cup of Nations,Accra,Ghana,False,A,-2.0,2000,3.0,1037.6509392476123,992.8736983814657,44.7772408661466,1.67,0.33,1.33,0.67,0.33,1.0,1.33,-0.33,0.33,0.33,0,0,0
2000-01-31,Iceland,Norway,0.0,0.0,Nordic Championship,Cartagena,Spain,True,D,0.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-01-31,Kuwait,Syria,4.0,0.0,Friendly,Kuwait City,Kuwait,False,H,4.0,2000,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-01,Zambia,Senegal,2.0,2.0,African Cup of Nations,Lagos,Nigeria,True,D,0.0,2000,3.0,979.8378405783744,1003.9036369871193,-24.06579640874486,0.5,1.5,-1.0,0.0,0.5,1.0,0.67,0.33,0.33,0.33,0,0,0
2000-02-01,British Virgin Islands,Saint Lucia,2.0,3.0,Friendly,Road Town,British Virgin Islands,False,A,-1.0,2000,1.0,1000.0,1041.2543443246534,-41.2543443246534,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.5,1.0,0.0,0,0,0
2000-02-01,Egypt,Burkina Faso,4.0,2.0,African Cup of Nations,Kano,Nigeria,True,H,2.0,2000,3.0,1015.8289691638718,993.9495242460646,21.879444917807177,1.0,0.8,0.2,0.6,0.0,1.2,1.4,-0.2,0.2,0.6,0,0,0
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0.0,1.0,Friendly,Basseterre,Saint Kitts and Nevis,False,A,-1.0,2000,1.0,1000.0,1055.36339012244,-55.36339012244002,0.0,0.0,0.0,0.0,0.0,4.67,0.67,4.0,1.0,0.0,0,0,0
2000-02-02,South Africa,Algeria,1.0,1.0,African Cup of Nations,Kumasi,Ghana,True,D,0.0,2000,3.0,1035.0292972894022,1004.8106449813858,30.218652308016317,2.0,0.5,1.5,1.0,0.0,1.0,0.67,0.33,0.33,0.33,0,0,0
2000-02-02,Romania,Latvia,2.0,0.0,Cyprus International Tournament,Paphos,Cyprus,True,H,2.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-02,Finland,Iceland,0.0,1.0,Nordic Championship,Cartagena,Spain,True,A,-1.0,2000,2.0,1016.0,1000.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2000-02-02,Armenia,Moldova,2.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,True,H,1.0,2000,2.0,1000.0,1000.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-02,Costa Rica,Chile,1.0,0.0,Friendly,San José,Costa Rica,False,H,1.0,2000,1.0,1015.263693206478,983.9491378999273,31.314555306550687,2.0,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0
2000-02-02,DR Congo,Gabon,0.0,0.0,African Cup of Nations,Accra,Ghana,True,D,0.0,2000,3.0,983.8662425203147,960.2938152088972,23.572427311417528,0.0,0.5,-0.5,0.0,0.5,1.0,2.33,-1.33,0.0,0.33,0,0,0
2000-02-02,Cyprus,Lithuania,2.0,1.0,Cyprus International Tournament,Limassol,Cyprus,False,H,1.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-03,Nigeria,Morocco,2.0,0.0,African Cup of Nations,Lagos,Nigeria,False,H,2.0,2000,3.0,1017.6571056080986,1027.8486802404336,-10.191574632335005,2.0,1.0,1.0,0.5,0.5,0.67,0.0,0.67,0.67,0.33,0,0,0
2000-02-03,Tunisia,Congo,1.0,0.0,African Cup of Nations,Kano,Nigeria,True,H,1.0,2000,3.0,984.9035630364552,987.1701222248831,-2.266559188427891,2.25,1.5,0.75,0.25,0.25,0.0,0.5,-0.5,0.0,0.5,0,0,0
2000-02-04,Norway,Sweden,1.0,1.0,Nordic Championship,Cartagena,Spain,True,D,0.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-04,Romania,Georgia,1.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,True,D,0.0,2000,2.0,1020.0,1000.0,20.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
